",""ID"",""YEAR"",""Yield"",""CIGREEN_VEG"",""GDVI_VEG"",""MSAVI2_VEG"",""NDVI_VEG"",""NDWI_VEG"",""PSRINIR_VEG"",""CIGREEN_REP"",""GDVI_REP"",""MSAVI2_REP"",""NDVI_REP"",""NDWI_REP"",""PSRINIR_REP"",""CIGREEN_MAT"",""GDVI_MAT"",""MSAVI2_MAT"",""NDVI_MAT"",""NDWI_MAT"",""PSRINIR_MAT"""
"41,""P477-M1"",2018,785.7,14.949,24674.853,6.092,3.766,-5.05,2.883,34.042,47599.612,12.387,8.553,-9.582,3.145,70.422,95206.838,27.788,20.062,-19.607,2.192"
"42,""P477-M2"",2018,854.6,13.463,22891.144,5.747,3.44,-4.844,3.048,29.056,40618.665,11.406,7.463,-8.651,3.271,63.82,87175.029,26.875,18.427,-18.368,2.883"
"43,""P484-M1"",2018,811.3,16.043,28205.907,5.779,4.002,-5.346,3.123,34.357,51771.801,12.217,8.777,-9.796,3.235,68.596,93304.964,28.211,19.669,-19.38,2.296"
"44,""P484-M2"",2018,536.8,15.773,26691.286,6.529,3.909,-5.291,3.034,35.113,50222.827,12.24,8.726,-9.878,3.25,73.174,99788.338,25.97,20.516,-20.118,2.136"
"45,""P494-M1"",2018,1278.1,14.725,22049.898,6.402,3.875,-4.958,2.472,33.708,40178.322,12.239,8.776,-9.469,2.605,68.306,89725.192,26.497,19.92,-19.231,1.884"
"46,""P494-M2"",2018,727.1,13.492,22284.801,6.218,3.504,-4.854,2.897,28.732,39350.933,10.651,7.414,-8.553,3.033,66.448,87523.629,23.742,18.62,-18.62,2.737"
"47,""P497-M1"",2018,454.1,16.609,34407.14,5.877,3.757,-5.684,4.105,28.966,54148.055,11.129,6.834,-9.016,4.991,60.371,97379.23,26.099,16.192,-17.865,5.061"
"48,""P511-M1"",2018,887.8,17.064,30024.486,6.223,3.981,-5.586,3.439,35.268,52714.015,12.619,8.376,-9.858,3.756,67.577,95366.653,27.651,18.745,-19.158,3.084"
"49,""P518-M3"",2018,773,16.348,28962.364,6.317,4.074,-5.455,3.15,31.338,50142.045,12.647,8.244,-9.399,3.39,62.95,90426.218,28.272,18.178,-18.434,3.038"
"50,""P522-M1"",2018,538.3,15.261,29372.864,6.408,3.66,-5.417,3.854,24.412,43552.117,12.723,6.329,-8.108,4.373,59.862,88080.061,27.451,17.151,-17.812,3.695"
"51,""P10-M-SER"",2018,992.9,19.841,26203.145,6.029,3.063,-6.353,6.848,16.856,29202.565,11.433,3.53,-6.034,5.5,43.09,68239.734,26.636,10.432,-14.16,8.414"
"52,""P134-M-SER"",2018,929.1,15.475,28200.417,5.269,3.64,-5.357,3.914,27.074,42554.202,8.206,6.571,-8.591,4.687,59.81,87487.064,23.649,16.862,-17.7,3.956"
"53,""P135-M-SER"",2018,834.2,15.37,26865.792,5.593,3.407,-5.17,3.948,35.282,49810.986,9.361,7.854,-9.471,3.964,73.999,99436.465,25.597,19.354,-20.05,3.467"
"54,""P139-M-SER"",2018,1873.9,16.858,31250.002,5.452,3.912,-5.503,3.706,35.216,54921.776,6.634,8.257,-9.86,4.093,67.921,95053.953,16.441,18.539,-19.181,3.423"
"55,""P143-M-SER"",2018,634.1,16.526,30133.605,5.786,3.953,-5.526,3.705,32.021,48949.98,8.655,7.822,-9.468,4.206,65.592,95353.996,21.805,17.862,-18.776,3.901"
"56,""P144-M-SER"",2018,1632.4,14.559,26692.434,5.293,3.294,-5.056,3.964,31.061,48236.892,9.173,7.214,-8.917,3.989,68.745,95771.018,24.246,18.476,-19.178,3.597"
"57,""P182-M-SER"",2018,1014.6,15.703,27079.704,5.879,3.704,-5.25,3.643,32.57,46123.298,9.456,7.675,-9.336,4.347,70.25,94672.059,24.442,19.06,-19.364,3.106"
"58,""P184-M-SER"",2018,2318.1,13.249,22491.081,5.472,3.289,-4.794,3.479,24.282,34597.34,8.667,5.834,-7.899,4.924,65.969,86111.347,24.971,18.38,-18.353,2.937"
"59,""P187-M-SER"",2018,472.1,13.376,27403.298,5.524,3.032,-4.947,4.399,22.484,41275.184,10.797,4.92,-7.649,6.416,61.511,94357.696,26.07,16.485,-17.781,5.121"
"60,""P189-M-SER"",2018,1636.3,16.304,31801.693,5.645,3.799,-5.498,3.977,30.964,53200.208,11.457,7.374,-9.292,4.813,63.814,96618.212,27.041,17.439,-18.526,4.387"
"61,""P192-M-SER"",2018,1560.6,14.492,26143.006,6.286,3.337,-5.043,3.937,30.688,45085.158,12.128,7.258,-8.859,4.223,72.991,97508.52,26.268,19.332,-19.685,3.381"
"62,""P2-M-SER"",2018,784.5,13.245,25379.204,6.047,3.107,-4.845,3.91,23.248,40903.956,10.315,5.405,-7.791,5.44,59.601,85471.785,24.425,16.651,-17.593,4.119"
"63,""P222-M-SER"",2018,1142.1,14.242,27376.217,6.403,3.286,-5.095,4.061,25.222,43280.179,11.741,5.768,-8.208,5.512,61.997,89475.965,25.569,17.082,-18.023,4.064"
"64,""P223-M-SER"",2018,955.1,14.322,25951.157,5.795,3.277,-5.152,4.216,23.996,37229.426,8.803,5.606,-7.966,5.332,61.681,84983.776,22.386,17.421,-17.925,3.437"
"65,""P227-M-SER"",2018,1663.4,15.264,27014.96,6.001,3.493,-5.342,4.17,25.641,39433.477,10.193,6.148,-8.294,4.917,63.156,86859.774,24.089,17.93,-18.207,3.254"
"66,""P228-M-SER"",2018,707.8,13.666,27043.015,5.603,3.218,-4.976,4.057,23.914,42489.374,8.724,5.644,-7.956,5.523,62.509,91550.278,24.036,17.488,-18.106,3.945"
"67,""P3-M-SER"",2018,893.8,13.552,22523.389,5.495,3.342,-4.823,3.308,25.703,36404.016,9.344,6.351,-8.197,4.177,63.988,82849.908,24.305,18.073,-18.259,2.685"
"68,""P38-M-SER"",2018,208.7,14.094,24627.235,6.206,3.422,-4.964,3.496,27.73,41174.785,11.229,6.901,-8.596,4.096,65.685,86130.458,25.122,18.452,-18.746,2.811"
"69,""P4-M-SER"",2018,1270.6,13.409,23259.778,5.583,3.193,-4.767,3.544,26.602,40179.648,10.862,6.506,-8.285,4.166,60.761,83413.102,26.8,17.313,-17.894,3.328"
"70,""P41-M-SER"",2018,1508.5,13.293,25183.135,5.546,3.218,-4.871,3.779,23.443,38862.105,9.873,5.808,-7.838,4.813,60.342,83351.028,25.585,16.845,-17.729,3.806"
"71,""P42-M-SER"",2018,747.2,13.453,26070.944,6.161,3.269,-4.903,3.769,24.726,42273.421,10.846,6.243,-8.104,4.529,64.7,89596.233,25.58,18.012,-18.556,3.332"
"72,""P45-M-SER"",2018,1105.1,15.191,27296.788,5.712,3.723,-5.287,3.556,27.954,43261.337,10.61,7.009,-8.783,4.2,63.634,85507.351,26.101,17.894,-18.436,3.15"
"73,""P7-M-SER"",2018,1776.4,16.556,27889.224,5.504,3.886,-5.572,3.828,28.707,42373.144,9.142,7.09,-8.948,4.324,60.346,81943.857,24.878,17.142,-17.916,3.593"
"74,""P74-M-SER"",2018,107.9,15.612,33250.063,5.877,3.459,-5.516,4.639,25.647,49539.914,9.779,5.87,-8.387,5.787,62.907,99209.863,25.42,16.916,-18.29,4.842"
"75,""P79-M-SER"",2018,564.6,13.76,27498.71,5.604,3.077,-5.003,4.382,23.706,43384.116,9.096,5.706,-7.82,5.218,62.347,95965.559,24.851,16.962,-17.987,4.766"
"76,""P83-M-SER"",2018,908,14.001,28339.095,5.59,3.17,-5.11,4.327,23.838,42902.412,9.281,5.252,-7.958,6.064,66.492,100175.722,24.502,17.715,-18.653,4.304"
"77,""P85-M-SER"",2018,1675.5,15.358,30430.059,6.355,3.605,-5.364,4.107,27.446,47221.352,10.965,6.529,-8.615,5.156,60.235,93882.912,24.83,16.595,-17.791,4.5"
"78,""P87-M-SER"",2018,1240.9,15.803,33236.143,5.392,3.374,-5.63,5.244,22.851,43651.851,10.095,5.279,-7.773,5.873,53.945,91338.772,24.886,14.488,-16.667,6.349"
"79,""P88-M-SER"",2018,787.5,14.763,32969.312,5.297,3.248,-5.36,4.955,22.885,46238.36,6.141,5.35,-7.758,5.857,59.388,97424.599,16.699,16.572,-17.655,5.024"
"80,""P89-M-SER"",2018,1308.1,14.433,30758.24,5.625,3.387,-5.258,4.322,23.121,44711.332,9.987,5.347,-7.851,5.933,54.887,90304.037,25.523,15.087,-16.785,5.464"
"81,""P92-M-SER"",2018,941.4,20.622,27326.631,5.346,3.173,-6.536,7.267,17.937,33826.967,8.83,3.838,-6.418,5.801,41.601,78902.519,24.01,10.194,-13.956,9.221"
